#Sample	Not specified	
#B-Field Phi	-1.50000304782E+2	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2800000000.00	3729613451.35	1432466.00000	1434720.00000	0.998428961749
2800500000.00	3729613452.64	1434966.00000	1439420.00000	0.996905698128
2801000000.00	3729613453.93	1437187.00000	1439654.00000	0.998286393814
2801500000.00	3729613455.24	1431518.00000	1433931.00000	0.998317213311
2802000000.00	3729613456.53	1434661.00000	1437468.00000	0.998047260878
2802500000.00	3729613457.82	1427350.00000	1430473.00000	0.997816806049
2803000000.00	3729613459.15	1420832.00000	1423306.00000	0.998261793318
2803500000.00	3729613460.44	1426989.00000	1430203.00000	0.997752766565
2804000000.00	3729613461.73	1427124.00000	1431713.00000	0.996794748668
2804500000.00	3729613463.04	1432665.00000	1434912.00000	0.998434050311
2805000000.00	3729613464.33	1433385.00000	1435728.00000	0.998368075290
2805500000.00	3729613465.62	1428864.00000	1432403.00000	0.997529326593
2806000000.00	3729613466.95	1428856.00000	1430643.00000	0.998750911304
2806500000.00	3729613468.24	1415365.00000	1418788.00000	0.997587377395
2807000000.00	3729613469.53	1425812.00000	1427296.00000	0.998960271731
2807500000.00	3729613470.86	1432700.00000	1434169.00000	0.998975713462
2808000000.00	3729613472.15	1431509.00000	1434760.00000	0.997734115810
2808500000.00	3729613473.43	1435993.00000	1436725.00000	0.999490507926
2809000000.00	3729613474.76	1433558.00000	1437281.00000	0.997409692329
2809500000.00	3729613476.05	1433717.00000	1435537.00000	0.998732181755
2810000000.00	3729613477.33	1429129.00000	1431120.00000	0.998608781933
2810500000.00	3729613478.64	1427305.00000	1432185.00000	0.996592618970
2811000000.00	3729613479.93	1422417.00000	1426117.00000	0.997405542463
2811500000.00	3729613481.22	1423109.00000	1426616.00000	0.997541735127
2812000000.00	3729613482.55	1420432.00000	1424685.00000	0.997014778705
2812500000.00	3729613483.84	1430705.00000	1432612.00000	0.998668864982
2813000000.00	3729613485.12	1429226.00000	1433231.00000	0.997205614447
2813500000.00	3729613486.41	1436051.00000	1441055.00000	0.996527544056
2814000000.00	3729613487.73	1432762.00000	1437464.00000	0.996728961560
2814500000.00	3729613489.02	1432567.00000	1438813.00000	0.995658921625
2815000000.00	3729613490.30	1422399.00000	1429127.00000	0.995292230851
2815500000.00	3729613491.62	1429951.00000	1437527.00000	0.994729838118
2816000000.00	3729613492.92	1423913.00000	1431177.00000	0.994924457282
2816500000.00	3729613494.25	1426688.00000	1432092.00000	0.996226499415
2817000000.00	3729613495.54	1431711.00000	1440617.00000	0.993817926624
2817500000.00	3729613496.83	1431280.00000	1443387.00000	0.991612090174
2818000000.00	3729613498.14	1429471.00000	1443235.00000	0.990463091596
2818500000.00	3729613499.43	1419304.00000	1432312.00000	0.990918179838
2819000000.00	3729613500.72	1430226.00000	1442359.00000	0.991588085906
2819500000.00	3729613502.04	1425285.00000	1438049.00000	0.991124085480
2820000000.00	3729613503.33	1407454.00000	1420030.00000	0.991143849074
2820500000.00	3729613504.62	1420704.00000	1432795.00000	0.991561249167
2821000000.00	3729613505.95	1421616.00000	1435085.00000	0.990614493218
2821500000.00	3729613507.24	1429503.00000	1440203.00000	0.992570491799
2822000000.00	3729613508.53	1430490.00000	1446368.00000	0.989022157570
2822500000.00	3729613509.85	1419608.00000	1433279.00000	0.990461731456
2823000000.00	3729613511.14	1418205.00000	1425762.00000	0.994699676384
2823500000.00	3729613512.42	1419689.00000	1430163.00000	0.992676359268
2824000000.00	3729613513.75	1429795.00000	1439228.00000	0.993445791772
2824500000.00	3729613515.04	1430190.00000	1436872.00000	0.995349620565
2825000000.00	3729613516.37	1438835.00000	1446054.00000	0.995007793623
2825500000.00	3729613517.65	1436631.00000	1439174.00000	0.998233014215
2826000000.00	3729613518.94	1434755.00000	1437574.00000	0.998039057468
2826500000.00	3729613520.23	1443286.00000	1445654.00000	0.998361987031
2827000000.00	3729613521.56	1442915.00000	1447968.00000	0.996510281995
2827500000.00	3729613522.86	1440018.00000	1442307.00000	0.998412959238
2828000000.00	3729613524.15	1448616.00000	1450139.00000	0.998949755851
2828500000.00	3729613525.48	1445375.00000	1451183.00000	0.995997748044
2829000000.00	3729613526.77	1444291.00000	1448117.00000	0.997357948287
2829500000.00	3729613528.07	1442653.00000	1445926.00000	0.997736398682
2830000000.00	3729613529.38	1444297.00000	1450667.00000	0.995608916450
2830500000.00	3729613530.67	1454957.00000	1458769.00000	0.997386837806
2831000000.00	3729613531.95	1455896.00000	1461840.00000	0.995933891534
2831500000.00	3729613533.26	1449553.00000	1452282.00000	0.998120888367
2832000000.00	3729613534.55	1448263.00000	1451626.00000	0.997683287569
2832500000.00	3729613535.89	1442150.00000	1448482.00000	0.995628526968
2833000000.00	3729613537.18	1443957.00000	1449055.00000	0.996481845065
2833500000.00	3729613538.46	1443151.00000	1446043.00000	0.998000059473
2834000000.00	3729613539.75	1440944.00000	1441057.00000	0.999921585336
2834500000.00	3729613541.06	1448782.00000	1450435.00000	0.998860341897
2835000000.00	3729613542.36	1443396.00000	1447050.00000	0.997474862652
2835500000.00	3729613543.63	1443827.00000	1447219.00000	0.997656194398
2836000000.00	3729613544.96	1444173.00000	1450658.00000	0.995529614837
2836500000.00	3729613546.25	1441970.00000	1444510.00000	0.998241618265
2837000000.00	3729613547.53	1449039.00000	1453776.00000	0.996741588800
2837500000.00	3729613548.85	1454048.00000	1458710.00000	0.996804025475
2838000000.00	3729613550.14	1449927.00000	1453557.00000	0.997502677914
2838500000.00	3729613551.48	1448788.00000	1452420.00000	0.997499345919
2839000000.00	3729613552.77	1449215.00000	1454629.00000	0.996278088777
2839500000.00	3729613554.06	1437386.00000	1442217.00000	0.996650296037
2840000000.00	3729613555.39	1445096.00000	1451851.00000	0.995347318699
2840500000.00	3729613556.68	1437434.00000	1447129.00000	0.993300528149
2841000000.00	3729613557.96	1441220.00000	1450819.00000	0.993383737048
2841500000.00	3729613559.27	1437206.00000	1450776.00000	0.990646385107
2842000000.00	3729613560.56	1434787.00000	1450907.00000	0.988889708300
2842500000.00	3729613561.85	1426286.00000	1441857.00000	0.989200732111
2843000000.00	3729613563.18	1437027.00000	1451851.00000	0.989789585846
2843500000.00	3729613564.47	1427573.00000	1441687.00000	0.990210080274
2844000000.00	3729613565.75	1428449.00000	1445963.00000	0.987887656876
2844500000.00	3729613567.08	1430096.00000	1446792.00000	0.988459985955
2845000000.00	3729613568.37	1425610.00000	1441546.00000	0.988945201887
2845500000.00	3729613569.64	1428793.00000	1441844.00000	0.990948396637
2846000000.00	3729613570.97	1436841.00000	1451110.00000	0.990166837800
2846500000.00	3729613572.26	1431254.00000	1446858.00000	0.989215251255
2847000000.00	3729613573.54	1432045.00000	1443988.00000	0.991729155644
2847500000.00	3729613574.87	1438645.00000	1449683.00000	0.992385921612
2848000000.00	3729613576.15	1436980.00000	1445725.00000	0.993951131785
2848500000.00	3729613577.45	1446428.00000	1452836.00000	0.995589316344
2849000000.00	3729613578.78	1441871.00000	1450319.00000	0.994175074587
2849500000.00	3729613580.07	1448326.00000	1455196.00000	0.995278986473
2850000000.00	3729613581.36	1450319.00000	1454262.00000	0.997288659127
2850500000.00	3729613582.69	1440856.00000	1445871.00000	0.996531502465
2851000000.00	3729613583.98	1450150.00000	1452667.00000	0.998267324858
2851500000.00	3729613585.26	1433854.00000	1440240.00000	0.995566016775
2852000000.00	3729613586.54	1433681.00000	1440891.00000	0.994996151687
2852500000.00	3729613587.85	1437525.00000	1438774.00000	0.999131899798
2853000000.00	3729613589.14	1442100.00000	1447482.00000	0.996281819049
2853500000.00	3729613590.43	1440604.00000	1443949.00000	0.997683436188
2854000000.00	3729613591.76	1432587.00000	1436112.00000	0.997545456065
2854500000.00	3729613593.05	1431497.00000	1435710.00000	0.997065563380
2855000000.00	3729613594.33	1438782.00000	1443159.00000	0.996967070157
2855500000.00	3729613595.64	1436176.00000	1437887.00000	0.998810059483
2856000000.00	3729613596.93	1443458.00000	1446441.00000	0.997937696733
2856500000.00	3729613598.22	1432473.00000	1435915.00000	0.997602922179
2857000000.00	3729613599.55	1446520.00000	1450221.00000	0.997447975171
2857500000.00	3729613600.84	1450365.00000	1456149.00000	0.996027879015
2858000000.00	3729613602.13	1446032.00000	1448269.00000	0.998455397443
2858500000.00	3729613603.44	1444152.00000	1444052.00000	1.00006924958
2859000000.00	3729613604.73	1451353.00000	1456041.00000	0.996780310445
2859500000.00	3729613606.03	1447873.00000	1449899.00000	0.998602661289
2860000000.00	3729613607.36	1451060.00000	1452617.00000	0.998928141416
2860500000.00	3729613608.65	1443793.00000	1447422.00000	0.997492783722
2861000000.00	3729613609.94	1446278.00000	1448378.00000	0.998550102252
2861500000.00	3729613611.26	1437802.00000	1441544.00000	0.997404172193
2862000000.00	3729613612.55	1444327.00000	1449529.00000	0.996411248067
2862500000.00	3729613613.84	1442035.00000	1443611.00000	0.998908293162
2863000000.00	3729613615.17	1447483.00000	1448736.00000	0.999135108122
2863500000.00	3729613616.46	1438599.00000	1439775.00000	0.999183205709
2864000000.00	3729613617.74	1436756.00000	1440345.00000	0.997508235874
2864500000.00	3729613619.05	1448443.00000	1451962.00000	0.997576382853
2865000000.00	3729613620.35	1431071.00000	1435591.00000	0.996851470927
2865500000.00	3729613621.65	1432458.00000	1436887.00000	0.996917642097
2866000000.00	3729613622.97	1438961.00000	1440667.00000	0.998815826280
2866500000.00	3729613624.26	1438227.00000	1441711.00000	0.997583426914
2867000000.00	3729613625.59	1441321.00000	1443187.00000	0.998707028265
2867500000.00	3729613626.88	1444575.00000	1448827.00000	0.997065212065
2868000000.00	3729613628.16	1449582.00000	1455200.00000	0.996139362287
2868500000.00	3729613629.46	1460035.00000	1461820.00000	0.998778919429
2869000000.00	3729613630.76	1454927.00000	1455879.00000	0.999346099504
2869500000.00	3729613632.05	1456015.00000	1457448.00000	0.999016774526
2870000000.00	3729613633.34	1455085.00000	1458972.00000	0.997335795341
